sme_id,topic,class_type,sessions_delivered,avg_learner_rating,avg_quality_score,reliability_score
SME084,JavaScript,Doubt Clearing,3,4.02,72.1,94.9
SME085,Product Strategy,Office Hours,1,3.53,78.7,91.8
SME086,Python,Cohort Class,5,4.3,71.9,94.8
SME087,React,Mock Interview,4,3.82,76.3,89.3
SME088,Data Structures & Algorithms,Office Hours,3,3.54,84.6,93.5
SME089,Product Strategy,Workshop,8,4.77,81.9,82.9
SME090,Cloud Computing,Doubt Clearing,9,3.73,83.1,89.4
SME091,DevOps,Office Hours,9,3.9,77.6,87.7
SME092,SQL,Workshop,5,3.98,75.7,83.5
SME093,Python,Office Hours,3,3.95,80.3,78.1
SME094,Machine Learning,Workshop,5,3.51,79.5,83.3
SME095,Data Analytics,Cohort Class,9,3.99,79.1,88.1
SME096,Behavioral Interviews,Doubt Clearing,3,4.43,84.2,92.9
SME097,DevOps,Mock Interview,2,4.05,75.3,91.8
SME098,Data Structures & Algorithms,Mock Interview,9,4.55,79.1,93.4
SME099,Resume Review,Doubt Clearing,5,3.64,80.0,86.1
SME100,Mock Interviews,Doubt Clearing,6,3.53,71.1,87.6
SME001,Resume Review,Cohort Class,5,3.85,85.7,91.1
SME002,Resume Review,Cohort Class,3,3.52,74.8,85.6
SME003,Cloud Computing,Mock Interview,8,4.41,70.7,79.4
SME004,Behavioral Interviews,Cohort Class,5,4.51,71.6,86.5
SME005,Behavioral Interviews,Mock Interview,7,4.58,72.7,91.8
SME006,Aptitude,Workshop,8,3.82,91.9,81.6
SME007,Product Management,Office Hours,4,4.11,85.0,83.6
SME008,Product Strategy,Doubt Clearing,1,4.47,82.1,80.2
SME009,Career Coaching,Assessment Review,5,3.76,89.5,93.5
SME010,JavaScript,Cohort Class,4,4.32,77.1,81.0
SME011,DevOps,Office Hours,2,4.01,75.3,95.4
SME012,JavaScript,Assessment Review,10,3.7,87.0,82.5
SME013,Python,Cohort Class,10,3.94,91.3,91.7
SME014,Python,Cohort Class,6,4.34,85.4,92.2
SME015,Python,Workshop,4,3.91,82.3,89.6
SME016,Java,Workshop,4,3.53,78.3,91.0
SME017,Data Analytics,Cohort Class,8,4.42,82.3,87.8
SME018,Product Management,Doubt Clearing,10,3.74,77.6,91.2
SME019,Python,Office Hours,9,3.71,81.7,86.1
SME020,SQL,Office Hours,6,4.09,87.1,87.1
SME021,SQL,Cohort Class,10,4.61,87.1,82.3
SME022,Python,Assessment Review,9,4.56,74.2,90.3
SME023,React,Office Hours,5,3.92,84.1,80.0
SME024,Behavioral Interviews,Cohort Class,3,3.73,70.7,79.9
SME025,Cloud Computing,Cohort Class,1,4.24,88.4,89.8
SME026,Data Structures & Algorithms,Cohort Class,6,3.79,85.8,78.2
SME027,SQL,Assessment Review,8,4.71,88.3,86.4
SME028,Resume Review,Mock Interview,9,4.47,89.6,92.8
